Year,Slogan,Candidate,NameIncluded,Rhymes,Party,Won,Unique,Same,America
1840,Log Cabin and Hard Cider,William Henry Harrison,N,N,Whig,Y,0,0,0
1840,Tippecanoe and Tyler Too,William Henry Harrison,N,Y,Whig,Y,0,1,0
1844,Who is Polk?,Henry Clay,N,N,Whig,N,0,0,0
1844,"Hurray, Hurray, the Country's Risin' – Vote for Clay and Frelinghuysen!",Henry Clay,Y,Y,Whig,N,0,0,0
1844,Fifty-four Forty or Fight,James K. Polk,N,N,Democrat,Y,0,0,0
1844,Reannexation of Texas and Reoccupation of Oregon,James K. Polk,N,N,Democrat,Y,0,0,0
1844,"Polk and Texas, Clay and No Texas.",James K. Polk,Y,N,Democrat,Y,0,0,0
1844,"Polk, Dallas, Texas, Oregon and the Tariff of '42",James K. Polk,Y,N,Democrat,Y,0,0,0
1848,"Free Soil, Free Labor, Free Speech, and Free Men",Martin Van Buren,N,N,Free Soil,N,0,0,0
1848,For President of the People,Zachary Taylor,N,N,Whig,Y,0,0,0
1852,"We Polked you in '44, We shall Pierce you in '52",Franklin Pierce,Y,N,Democrat,Y,0,0,0
1852,"First In War, First In Peace",Winfield Scott,N,N,Whig,N,0,0,0
1856,No Sectionalism,James Buchanan,N,N,Democrat,Y,1,0,0
1856,"Freedom, Freemen and Fremont",John Fremont,Y,N,Republican,N,0,0,0
1856,America for the Americans,Millard Fillmore,N,N,Whig,N,0,0,1
1860,Vote yourself a Farm,Abraham Lincoln,N,N,Republican,Y,0,0,0
1860,Free homes for Free Men,Abraham Lincoln,N,N,Republican,Y,0,0,0
1860,A House Divided Against Itself Cannot Stand,Abraham Lincoln,N,N,Republican,Y,0,0,0
1860,"The Constitution and the Union, Now and Forever",John Bell,N,N,Constitutional Union,N,0,0,0
1860,"Liberty and Union, Now and Forever, One and Inseparable",John Bell,N,N,Constitutional Union,N,0,0,0
1860,Douglas and Johnson: The Union Now and Forever,Stephen Douglas,Y,N,Democrat,N,0,0,0
1864,Don't swap horses in midstream,Abraham Lincoln,N,N,Republican,Y,0,1,0
1868,Let Us Have Peace,Ulysses S. Grant,N,N,Republican,Y,0,0,0
1868,Vote as You Shot,Ulysses S. Grant,N,N,Republican,Y,0,0,0
